Date,Price
Jul 19,68.565
Jun 19,68.950
May 19,69.580
Apr 19,69.647
Mar 19,69.185
Feb 19,70.840
Jan 19,70.960
Dec 18,69.570
Nov 18,69.650
Oct 18,73.960
Sep 18,72.510
Aug 18,71.005
Jul 18,68.460
Jun 18,68.460
May 18,67.430
Apr 18,66.460
Mar 18,65.115
Feb 18,65.210
Jan 18,63.550
Dec 17,63.840
Nov 17,64.490
Oct 17,64.750
Sep 17,65.310
Aug 17,63.935
Jul 17,64.200
Jun 17,64.620
May 17,64.510
Apr 17,64.290
Mar 17,64.860
Feb 17,66.725
Jan 17,67.515
Dec 16,67.955
Nov 16,68.598
Oct 16,66.686
Sep 16,66.556
Aug 16,66.973
Jul 16,66.655
Jun 16,67.504
May 16,67.209
Apr 16,66.425
Mar 16,66.255
Feb 16,68.208
Jan 16,67.878
Dec 15,66.208
Nov 15,66.462
Oct 15,65.423
Sep 15,65.517
Aug 15,66.412
Jul 15,63.988
Jun 15,63.604
May 15,63.743
Apr 15,63.529
Mar 15,62.291
Feb 15,61.659
Jan 15,62.020
Dec 14,63.035
Nov 14,62.210
Oct 14,61.405
Sep 14,61.940
Aug 14,60.520
Jul 14,60.555
Jun 14,60.060
May 14,59.195
Apr 14,60.345
Mar 14,60.015
Feb 14,61.795
Jan 14,62.685
Dec 13,61.810
Nov 13,62.399
Oct 13,61.624
Sep 13,62.590
Aug 13,65.705
Jul 13,60.855
Jun 13,59.533
May 13,56.580
Apr 13,53.685
Mar 13,54.285
Feb 13,54.146
Feb 13,54.370
Jan 13,53.289
Jan 13,53.275
Dec 12,54.741
Dec 12,54.995
Nov 12,54.285
Nov 12,54.265
Oct 12,53.800
Oct 12,53.805
Sep 12,52.885
Sep 12,52.855
Aug 12,55.526
Aug 12,55.525
Jul 12,55.605
Jul 12,55.560
Jun 12,55.511
Jun 12,55.510
May 12,55.886
May 12,56.040
Apr 12,52.666
Apr 12,52.665
Mar 12,50.875
Feb 12,49.110
Jan 12,49.515
Dec 11,53.015
Nov 11,52.130
Oct 11,48.695
Sep 11,49.020
Aug 11,45.800
Jul 11,44.210
Jun 11,44.700
May 11,45.060
Apr 11,44.255
Mar 11,44.535
Feb 11,45.265
Jan 11,45.825
Dec 10,44.712
Nov 10,45.800
Oct 10,44.325
Sep 10,44.570
Aug 10,47.065
Jul 10,46.405
Jun 10,46.445
May 10,46.365
Apr 10,44.275
Mar 10,44.825
Feb 10,46.105
Jan 10,46.125
Dec 09,46.410
Nov 09,46.535
Oct 09,46.925
Sep 09,47.735
Aug 09,48.690